1|This report is published by Karnataka Learning Partnership for providing the Elected Representatives of Assembly and Parliamentary constituencies a summary of the financial allocations for Government Schools in their respective electoral regions. <br/><br/>This is the second report, that follows the overview on demographics of Government Schools and Anganwadis in the electoral regions. This report provides summary of the Annual School Grants under SSA (Sarva Shiksha Abhiyan), that Government schools receive in the categories - <br/>|<br/>ಚುನಾಯಿತ ವಿಧಾನ ಸಭಾ ಸದಸ್ಯರು ಮತ್ತು ಲೋಕಸಭಾ ಸದಸ್ಯರಿಗೆ, ತಮ್ಮ ಕ್ಷೇತ್ರದ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣದ ಸಮಗ್ರ ವಿವರ ನೀಡಲು ಕರ್ನಾಟಕ  ಕಲಿಕಾ ಸಹಭಾಗಿತ್ವವು ಈ ವರದಿಯನ್ನು  ಪ್ರಕಟಿಸಿದೆ.<br/><br/>ಪ್ರಕಟವಾಗಲಿರುವ ಮೂರು ವರದಿಗಳ ಪೈಕಿ ,ಇದು ಮೊದಲನೇ ವರದಿಯಾಗಿದ್ದು, ಇದರಲ್ಲಿ  ಶಾಲಾ (ಪ್ರವರ್ಗ ಹಾಗು ಬೋಧನಾ ಮಾಧ್ಯಮ) ವಿವರ ಮತ್ತು ಮಕ್ಕಳ (ಮಾತೃ ಭಾಷಾನುಸಾರ ಹಾಗು ಲಿಂಗಾಧಾರಿತ) ಮಾಹಿತಿ ನೀಡಿದ್ದೇವೆ.<br/>
2|<br/>This  constituency has |<br/>ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ
4| Government Schools with | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ, 
5| Among them| ಇದರಲ್ಲಿ
6| Among these Government Schools,| ಈ  ಶಾಲೆಗಳಲ್ಲಿ,
7| as identified in our records.| ಇವೆ. 
8| | ಇದೆ.
9| | ಮಕ್ಕಳು.
10|<br/>This constituency is known to have |<br/>ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ
11| - this constituency's neighbours by geography (and as visualized by maps as sharing edges with this Constituency) are – |-ನ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು  (ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರವನ್ನು ಬೌಗೋಳಿಕವಾಗಿ ಹಾಗು ನಕ್ಷೆಯಲ್ಲಿ ತೊರಿಸಿರುವಂತೆ ಗಡಿ ಹಂಚಹಿಕೊಳ್ಳುವ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು ) - 
12|The data above compares the Annual School grants in this Constituency with that of the neighbouring constituencies. |ಶಾಲೆ ಮತ್ತು  ಅಂಗನವಾಡಿಗಳ ಸಂಖ್ಯೆ  ಮತ್ತು ಲಿಂಗ ಅನುಪಾತದ ಆಧಾರದ ಮೇಲೆ ಈ ಮೇಲ್ಕಂಡ ದತ್ತಾಂಶವನ್ನು  ಕ್ಷೇತ್ರದ ದತ್ತಾಂಶದೊಂದಿಗೆ ಹೋಲಿಸಲಾಗಿದೆ . 
13|| ಇವೆ
14| Government schools are in our records and | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ 
15|<br/><br/>In case of queries about this report please write to Team@klp.org.in.| ಈ ವರದಿಯನ್ನು  ಕುರಿತು ಪ್ರಶ್ನೆಗಳಿದ್ದಲ್ಲಿ Team@klp.org.in-ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
