1|This report is published by Karnataka Learning Partnership for providing the Elected Representatives of Assembly and Parliamentary constituencies a summary of the financial allocations for Government Schools in their respective electoral regions. <br/><br/>This is the second report, that follows the overview on demographics of Government Schools and Anganwadis in the electoral regions. This report provides summary of the Annual School Grants under SSA (Sarva Shiksha Abhiyan), that Government schools receive in the categories - <br/>|<BR/> ಈ ವರದಿಯನ್ನು ಚುನಾಯಿತ ವಿಧಾನ ಸಭಾ ಸದಸ್ಯರು ಮತ್ತು ಲೋಕಸಭಾ ಸದಸ್ಯರಿಗೆ, ನಿಮ್ಮ ಕ್ಷೇತ್ರದಲ್ಲಿನ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣದ ಆರ್ಥಿಕ ಹಂಚಿಕೆಯ ಸಾರಾಂಶ  ನೀಡಲು ಕರ್ನಾಟಕ  ಕಲಿಕಾ ಸಹಭಾಗಿತ್ವವು  ಪ್ರಕಟಿಸಿದೆ. ಶಾಲಾ  ವಿವರ ಮತ್ತು ಮಕ್ಕಳ ಮಾಹಿತಿ ನೀಡಿದ ಮೊದಲನೇ ವರದಿಯ  ನಂತರದ ವರದಿ ಇದಾಗಿದೆ. ಈ ವರದಿ (ಸರ್ವ ಶಿಕ್ಷಣ ಅಭಿಯಾನ) SSA ಯಿಂದ, ಈ ಕೆಳಗಿನ ವಿಭಾಗಗಳಲ್ಲಿ, ಸರ್ಕಾರಿ ಶಾಲೆಗಳಿಗೆ ,  ವಿತರಿಸುವ ವಾರ್ಷಿಕ ಅನುದಾನದ ಮಾಹಿತಿ ಒದಗಿಸುತ್ತದೆ. - <BR/>
2|<br/>This  constituency has |<br/>ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ
4| Government Schools with | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ, 
5| Among them| ಇದರಲ್ಲಿ
6| Among these Government Schools,| ಈ  ಶಾಲೆಗಳಲ್ಲಿ,
7| as identified in our records.| ಇವೆ. 
8| | ಆಗಿದೆ
9| | ಮಕ್ಕಳು.
10|<br/>This constituency is known to have |<br/>ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ
11| - this constituency's neighbours by geography (and as visualized by maps as sharing edges with this Constituency) are – |-ನ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು  (ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರವನ್ನು ಭೌಗೋಳಿಕವಾಗಿ ಹಾಗು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿರುವಂತೆ ಗಡಿ ಹಂಚಿಕೊಳ್ಳುವ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು ) - 
12|The data above compares the Annual School grants in this Constituency with that of the neighbouring constituencies. |ಮೇಲಿನ ದತ್ತಾಂಶ ನೆರೆಯ ಕ್ಷೇತ್ರಗಳ  ಜೊತೆ ಈ ಕ್ಷೇತ್ರದ ವಾರ್ಷಿಕ ಸರ್ಕಾರಿ ಶಾಲೆಗಳ  ಅನುದಾನವನ್ನು ಹೋಲಿಸಲಾಗಿದೆ.
13|| ಇವೆ
14| Government schools are in our records and | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ 
15|<br/><br/>In case of queries about this report please write to Team@klp.org.in.| <br/><br/>ಈ ವರದಿಯನ್ನು  ಕುರಿತು ಪ್ರಶ್ನೆಗಳಿದ್ದಲ್ಲಿ Team@klp.org.in-ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
16|Source: Allocation data from PAISA (Planning, Allocations and Expenditures, Institutions: Studies in Accountability ) report 2010 published by Accountability Initiative available at www.accountabilityindia.in/article/state-report-cards/2226-paisa-report-2010. School infrastructure data from NUEPA-DISE (www.schoolreportcards.in).|ಮೂಲ: Accountability Initiative ಪ್ರಕಟಿಸಿದ ಹಂಚುವಿಕೆಯ ಮಾಹಿತಿಯ  ವರದಿ - PAISA (Planning, Allocations and Expenditures, Institutions: Studies in Accountability ) ವರದಿ 2010.  ಈ ವರದಿ   www.accountabilityindia.in/article/state-report-cards/2226-paisa-report-2010 ಇಲ್ಲಿ ಲಭ್ಯವಿದೆ . ಸರ್ಕಾರಿ ಶಾಲೆಗಳ  ಮೂಲಭೂತ ಮಾಹಿತಿ  NUEPA-DISE (www.schoolreportcards.in) - ಇಂದ ಪಡೆಯಲಾಗಿದೆ.
17|Information is not available.|ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ .
