progress|<img src="/images/infra_ico/a_icons/11.png">; Maintain Children's Progress Records|<img src="/images/infra_ico/a_icons/11.png">; ಮಕ್ಕಳ  ಪ್ರಗತಿಯ ದಾಖಲೆಗಳನ್ನು  ನಿರ್ವಹಿಸುವುದು 
blackboard|<img src="/images/infra_ico/a_icons/10.png">; Have Blackboards for Teaching|<img src="/images/infra_ico/a_icons/10.png">; ಸಾಕಷ್ಟು ಕಪ್ಪು ಹಲಗೆಗಳನ್ನು ಹೊಂದಿರುವುದು 
floor|<img src="/images/infra_ico/a_icons/5.png">; Have Flooring Intact|<img src="/images/infra_ico/a_icons/5.png">; ಕೊಠಡಿಗಳ  ನೆಲ ಸರಿಯಾಗಿರುವುದು 
roof|<img src="/images/infra_ico/a_icons/6.png">; Have Roofs Intact|<img src="/images/infra_ico/a_icons/6.png">; ಕೊಠಡಿಗಳ   ಚಾವಣಿ ಸರಿಯಾಗಿರುವುದು 
walls|<img src="/images/infra_ico/a_icons/4.png">; Have Walls Intact|<img src="/images/infra_ico/a_icons/4.png">; ಕೊಠಡಿಗಳ   ಗೋಡೆ ಸರಿಯಾಗಿರುವುದು 
building|<img src="/images/infra_ico/a_icons/1.png">; Are in a Designated Building by DWCD|<img src="/images/infra_ico/a_icons/1.png">; DWCD ನಿಯೋಜಿತ ಕಟ್ಟಡದಲ್ಲಿ ಇರುವುದು 
drinking_water|<img src="/images/infra_ico/a_icons/8.png">; Have Drinking Water Facilities|<img src="/images/infra_ico/a_icons/8.png">; ಕುಡಿಯುವ ನೀರಿನ ಸೌಲಭ್ಯ ಹೊಂದಿರುವುದು 
meal_served|<img src="/images/infra_ico/a_icons/14.png">; Have Clean and Timely Meals|<img src="/images/infra_ico/a_icons/14.png">; ಸ್ವಚ್ಛ ಮತ್ತು ಸಕಾಲಕ್ಕೆ  ಊಟ ಒದಗಿಸುವುದು 
waste_basket|<img src="/images/infra_ico/a_icons/3.png">; Have Waste Baskets|<img src="/images/infra_ico/a_icons/3.png">; ಕಸದ ಬುಟ್ಟಿಗಳನ್ನು ಹೊಂದಿರುವುದು 
water_supply|<img src="/images/infra_ico/a_icons/7.png">; Have Water Supply|<img src="/images/infra_ico/a_icons/7.png">; ನೀರಿನ  ಸೌಲಭ್ಯ ಹೊಂದಿರುವುದು 
toilet_roof|<img src="/images/infra_ico/a_icons/16.png">; Have Shelters for Toilets|<img src="/images/infra_ico/a_icons/16.png">; ಶೌಚಾಲಯಗಳ ಮೇಲೆ ಛಾವಣಿಯ ನೆರೆಯಿರುವುದು 
toilet|<img src="/images/infra_ico/a_icons/15.png">; Have Toilets|<img src="/images/infra_ico/a_icons/15.png">; ಶೌಚಾಲಯಗಳನ್ನು  ಹೊಂದಿರುವುದು 
handwash|<img src="/images/infra_ico/a_icons/13.png">; Have Handwash Facilities|<img src="/images/infra_ico/a_icons/13.png">; ಕೈ ತೊಳೆಯಲು ನೀರಿನ ಸೌಲಭ್ಯ  ಹೊಂದಿರುವುದು 
space|<img src="/images/infra_ico/a_icons/2.png">; Have Spacious Classrooms and Play Areas|<img src="/images/infra_ico/a_icons/2.png">; ವಿಶಾಲವಾದ ಪಾಠದ ಕೊಠಡಿಗಳು ಮತ್ತು  ಆಟದ ಅಂಗಳ ಹೊಂದಿರುವುದು 
akshara_kits|<img src="/images/infra_ico/a_icons/12.png">; Use Akshara Foundation's Teaching Kits|<img src="/images/infra_ico/a_icons/12.png">; ಅಕ್ಷರ ಪ್ರತಿಷ್ಠಾನವು  ನೀಡುವ ಬೋಧನೆ ಉಪಕರಣಗಳು ಇರುವುದು
bvs|<img src="/images/infra_ico/a_icons/9.png">; Have Functional Bal Vikas Samithis|<img src="/images/infra_ico/a_icons/9.png">; ಕಾರ್ಯಕಾರಿ  ಬಾಲ ವಿಕಾಸ ಸಮಿತಿ ಇರುವುದು
toilet_usable|<img src="/images/infra_ico/a_icons/17.png">; Have Usable Toilets|<img src="/images/infra_ico/a_icons/17.png">; ಬಳಸಬಹುದಾದ ಶೌಚಾಲಯಗಳನ್ನು  ಹೊಂದಿರುವುದು 
library|<img src="/images/infra_ico/s_icons/6.png">; Have Libraries with Books|<img src="/images/infra_ico/s_icons/6.png">; ಪುಸ್ತಕಗಳಿರುವ ಗ್ರಂಥಾಲಯ  ಇರುವುದು 
toilet_all|<img src="/images/infra_ico/s_icons/11.png">; Have Common Toilets|<img src="/images/infra_ico/s_icons/11.png">; ಹೆಣ್ಣು ಮತ್ತು ಗಂಡು ಮಕ್ಕಳ ಸೇರ್ಪಟ್ಟ ಶೌಚಾಲಯ ಇರುವುದು
